StudentID,Full Name,Email,Year of Registration,Year of Studies,Syllabus,Semester,Course Attending,Project Grade,Exam Grade,Final Grade 
100,Shoshana Baitov,shoshana@uoi.gr,yUvPgtq,2020,2,2,4,1,7.5,7.5,null
101,Harald Shamburkin,harald@uoi.gr,kqnrugr,2019,3,3,6,1,0.0,6.0,null
102,Adalid Coanhas,adalid@uoi.gr,fbnFpcx,2018,4,4,8,1,3.0,7.0,null
103,Melia Llamusi,melia@uoi.gr,OWykBGP,2019,3,3,6,1,4.0,1.5,null
104,Eduviges Harbusch,eduviges@uoi.gr,yEbgdlq,2018,4,4,8,1,1.0,1.0,null
105,Abbes Struben,abbes@uoi.gr,krLyi9d,2020,2,2,4,1,9.0,9.0,null
106,Faith Hollenhorst,faith@uoi.gr,mNCrAwm,2018,4,4,8,1,8.0,5.5,null
107,Natascha Porteiro,natascha@uoi.gr,G7JVqXx,2017,5,5,10,1,7.0,8.5,null
108,Iram Brook,iram@uoi.gr,vX5jz9m,2019,3,3,6,1,1.5,9.0,null
109,Jerilyn Rocandio,jerilyn@uoi.gr,NkiFJ8u,2018,4,4,8,1,4.0,9.0,null
110,George Isaberri,george@uoi.gr,7P7mBaB,2018,4,4,8,1,0.5,5.0,null
111,Fode Brunido,fode@uoi.gr,aQnRO97,2019,3,3,6,1,9.0,1.5,null
112,Elaine Florencio,elaine@uoi.gr,gqQXsUV,2017,5,5,10,1,7.5,9.5,null
113,Beralides Sanzberro,beralides@uoi.gr,qU5qmvD,2019,3,3,6,1,2.5,0.5,null
114,Shanel Fedeli,shanel@uoi.gr,wd295UR,2021,1,1,2,1,3.0,8.0,null
115,Kilian Rodriguez Arias,kilian@uoi.gr,qq3fJdd,2019,3,3,6,1,4.5,4.5,null
116,Predestinacion Kwosnie,predestinacion@uoi.gr,VmjEsyf,2017,5,5,10,1,3.0,5.0,null
117,Zuriñe Koncke,zuriñe@uoi.gr,heK6tlC,2017,5,5,10,1,4.5,7.5,null
118,Urgell Suchin,urgell@uoi.gr,eMxac2D,2019,3,3,6,1,2.0,3.0,null
119,Lada Vihert,lada@uoi.gr,EPQUrK4,2017,5,5,10,1,4.5,3.5,null
120,Gaizka Burchert,gaizka@uoi.gr,iBaB7U4,2017,5,5,10,1,10.0,1.0,null
121,Setefilla Benek,setefilla@uoi.gr,OX35zcA,2018,4,4,8,1,3.0,5.5,null
122,Marybelle Muhlstrasser,marybelle@uoi.gr,uK4Lfla,2019,3,3,6,1,3.0,7.5,null
123,Elbert Mesquida,elbert@uoi.gr,q7B896S,2019,3,3,6,1,4.0,9.0,null
124,Jamie ,jamie@uoi.gr,dSGVg1L,2020,2,2,4,1,2.0,5.5,null
125,Gosho Yong,gosho@uoi.gr,PjJ7xbD,2019,3,3,6,1,10.0,8.5,null
126,Aleen Minkov,aleen@uoi.gr,RTS3e1d,2019,3,3,6,1,5.0,8.0,null
127,Rosell Dogujiev,rosell@uoi.gr,ehZlm5J,2017,5,5,10,1,5.5,2.0,null
128,Marame Lehman (money lender),marame@uoi.gr,FfNWFIp,2019,3,3,6,1,8.5,7.0,null
129,Mihaela Galenovich,mihaela@uoi.gr,O5Y3UoS,2021,1,1,2,1,3.0,4.0,null
130,Xiong Mendiguchia,xiong@uoi.gr,1UToYSD,2020,2,2,4,1,5.0,8.0,null
131,Cristofol Idoyaga,cristofol@uoi.gr,YGUo0Tm,2020,2,2,4,1,0.5,8.0,null
132,He Testera,he@uoi.gr,uxts1bZ,2020,2,2,4,1,6.5,7.0,null
133,Guohui Abramtchuk,guohui@uoi.gr,m11kVxx,2018,4,4,8,1,1.5,2.5,null
